Currency,Daily Total Return,Price Close,TRBC Economic Sector Name,Volume
USD,5.218658892,18.045,,159966
USD,2.127659574,149.76,,431
USD,0.415627598,18.12,,81718
USD,1.842948718,152.52,,508
USD,-1.793598234,17.795,,101996
USD,-0.629425649,151.56,,266
USD,-0.955324529,17.625,,106950
USD,-0.237529691,151.2,,771
USD,-0.255319149,17.58,,100472
USD,-1.428571429,149.04,,323
USD,-0.682593857,17.46,,164182
USD,0.644122383,150.0,,1380
USD,0.830469645,17.605,,150342
USD,0.96,151.44,,733
USD,0.198807157,17.64,,124744
USD,-0.396196513,150.84,,356
USD,-1.105442177,17.445,,111234
USD,-0.079554495,150.72,,691
USD,-1.117798796,17.25,,87802
USD,0.238853503,151.08,,506
USD,-2.927536232,16.745,,98558
USD,1.747418586,153.72,,1350
USD,0.298596596,16.795,,301448
USD,-4.059328649,147.48,,3447
USD,-1.905328967,16.475,,98148
USD,-2.196908055,144.24,,1001
USD,-3.550834598,15.89,,153056
USD,-0.998336106,142.8,,511
USD,-2.359974827,15.515,,207962
USD,-0.672268908,141.84,,1018
USD,-0.096680632,15.5,,250828
USD,2.538071066,145.44,,791
USD,-1.838709677,15.215,,131742
USD,0.660066007,146.4,,676
USD,1.906013802,15.505,,194524
USD,0.163934426,146.64,,425
USD,-0.483714931,15.43,,86060
USD,-0.572831424,145.8,,242
USD,-1.263771873,15.235,,129940
USD,0.411522634,146.4,,425
USD,-0.229734165,15.2,,64100
USD,0.0,146.4,,25
USD,2.269736842,15.545,,129108
USD,-2.213114754,143.16,,612
USD,-4.310067546,14.875,,167058
USD,1.173512154,144.84,,697
USD,-2.722689076,14.47,,175468
USD,-2.236951118,141.6,,389
USD,-1.796821009,14.21,,105906
USD,1.694915254,144.0,,2655
USD,0.316678395,14.255,,64434
USD,3.083333333,148.44,,651
USD,-1.227639425,14.08,,122564
USD,0.080840744,148.56,,964
USD,-0.532670455,14.005,,123494
USD,-2.665589661,144.6,,629
USD,3.034630489,14.43,,172042
USD,0.414937759,145.2,,100
USD,-0.554400554,14.35,,121630
USD,1.487603306,147.36,,336
USD,-0.696864111,14.25,,134870
USD,-0.16286645,147.12,,166
USD,-3.333333333,13.775,,131256
USD,-2.120717781,144.0,,157
USD,-0.58076225,13.695,,106182
USD,0.25,144.36,,207
USD,6.863818912,14.635,,241686
USD,1.579384871,146.64,,234
USD,-2.664844551,14.245,,131818
USD,-0.409165303,146.04,,214
USD,0.315900316,14.29,,126550
USD,0.410846343,146.64,,120
USD,5.318404479,15.05,,315724
USD,-0.245499182,146.28,,177
USD,-1.727574751,14.79,,197854
USD,2.871205906,150.48,,291
USD,1.115618661,14.955,,190052
USD,1.435406699,152.64,,103
USD,-3.07589435,14.495,,90606
USD,-5.188679245,144.72,,403
USD,2.79406692,14.9,,91934
USD,-0.497512438,144.0,,231
USD,2.147651007,15.22,,113206
USD,0.833333333,145.2,,170
USD,-2.660972405,14.815,,147732
USD,-0.743801653,144.12,,467
USD,1.586230172,15.05,,215578
